,entry1,entry2,link,value,name,pathway
0,137,138,PPrel,-->,activation,hsa05152
1,336,143,PPrel,-->,activation,hsa05152
2,143,142,PPrel,-->,activation,hsa05152
3,143,144,PPrel,-->,activation,hsa05152
4,143,130,PPrel,-->,activation,hsa05152
5,94,93,PPrel,-->,activation,hsa05152
6,176,337,PPrel,-->,activation,hsa05152
7,338,257,PPrel,-->,activation,hsa05152
8,339,257,PPrel,-->,activation,hsa05152
9,257,259,PPrel,-->,activation,hsa05152
10,245,246,PPrel,-->,activation,hsa05152
11,271,341,PPrel,-->,activation,hsa05152
12,271,120,PPrel,-->,activation,hsa05152
13,270,120,PPrel,-->,activation,hsa05152
14,117,120,PPrel,-->,activation,hsa05152
15,303,101,PPrel,-->,activation,hsa05152
16,342,119,PPrel,-->,activation,hsa05152
17,342,140,PPrel,-->,activation,hsa05152
18,119,291,PPrel,-->,activation,hsa05152
19,291,114,PPrel,-->,activation,hsa05152
20,189,306,PPrel,-->,activation,hsa05152
21,46,343,PPrel,---,binding/association,hsa05152
22,46,344,PPrel,---,binding/association,hsa05152
23,344,47,PPrel,---,binding/association,hsa05152
24,294,202,PPrel,-->,activation,hsa05152
25,295,345,PPrel,-->,activation,hsa05152
26,295,346,PPrel,-->,activation,hsa05152
27,64,65,PPrel,-->,activation,hsa05152
28,64,78,PPrel,-->,activation,hsa05152
29,65,53,PPrel,-->,activation,hsa05152
30,347,56,PCrel,-->,activation,hsa05152
31,73,156,PCrel,-->,activation,hsa05152
32,155,64,PCrel,-->,activation,hsa05152
33,166,75,PPrel,-->,activation,hsa05152
34,57,53,PCrel,-->,activation,hsa05152
35,138,140,PPrel,-->,activation,hsa05152
36,341,118,PPrel,-->,activation,hsa05152
37,120,118,PPrel,-->,activation,hsa05152
38,349,130,PPrel,-->,activation,hsa05152
39,147,149,PPrel,-+-,dissociation,hsa05152
40,145,130,PPrel,-->,activation,hsa05152
41,108,98,PPrel,-->,activation,hsa05152
42,108,100,PPrel,-->,activation,hsa05152
43,108,99,PPrel,-->,activation,hsa05152
44,106,108,PPrel,--|,inhibition,hsa05152
45,98,161,GErel,-->,expression,hsa05152
46,98,160,GErel,-->,expression,hsa05152
47,100,161,GErel,-->,expression,hsa05152
48,100,160,GErel,-->,expression,hsa05152
49,99,161,GErel,-->,expression,hsa05152
50,99,160,GErel,-->,expression,hsa05152
51,112,106,GErel,-->,expression,hsa05152
52,112,300,GErel,-->,expression,hsa05152
53,112,180,GErel,-->,expression,hsa05152
54,112,193,GErel,-->,expression,hsa05152
55,112,181,GErel,-->,expression,hsa05152
56,112,234,GErel,-->,expression,hsa05152
57,112,235,GErel,-->,expression,hsa05152
58,112,182,GErel,-->,expression,hsa05152
59,268,264,PCrel,-->,activation,hsa05152
60,116,120,PCrel,-->,activation,hsa05152
61,95,269,PPrel,-->,activation,hsa05152
62,92,108,GErel,-->,expression,hsa05152
63,92,300,GErel,-->,expression,hsa05152
64,224,210,PCrel,-->,activation,hsa05152
65,337,173,PPrel,--|,inhibition,hsa05152
66,173,99,PPrel,-->,activation,hsa05152
67,325,341,PCrel,-->,activation,hsa05152
68,326,341,PCrel,-->,activation,hsa05152
69,327,341,PCrel,-->,activation,hsa05152
70,328,341,PCrel,--|,inhibition,hsa05152
71,330,46,PCrel,-->,activation,hsa05152
72,335,46,PCrel,-->,activation,hsa05152
73,329,46,PCrel,-->,activation,hsa05152
74,331,346,PCrel,-->,activation,hsa05152
75,332,41,PCrel,-->,activation,hsa05152
76,333,41,PCrel,-->,activation,hsa05152
77,333,346,PCrel,--|,inhibition,hsa05152
78,333,345,PCrel,--|,inhibition,hsa05152
79,93,92,PPrel,-->,activation,hsa05152
80,93,92,PPrel,+p,phosphorylation,hsa05152
81,286,92,PPrel,-->,activation,hsa05152
82,286,92,PPrel,+p,phosphorylation,hsa05152
83,340,112,PPrel,-->,activation,hsa05152
84,340,112,PPrel,..>,indirect effect,hsa05152
85,246,112,PPrel,-->,activation,hsa05152
86,246,112,PPrel,..>,indirect effect,hsa05152
87,114,112,PPrel,-->,activation,hsa05152
88,114,112,PPrel,..>,indirect effect,hsa05152
89,114,275,PPrel,-->,activation,hsa05152
90,114,275,PPrel,..>,indirect effect,hsa05152
91,114,111,PPrel,-->,activation,hsa05152
92,114,111,PPrel,..>,indirect effect,hsa05152
93,114,274,PPrel,-->,activation,hsa05152
94,114,274,PPrel,..>,indirect effect,hsa05152
95,246,275,PPrel,-->,activation,hsa05152
96,246,275,PPrel,..>,indirect effect,hsa05152
97,246,111,PPrel,-->,activation,hsa05152
98,246,111,PPrel,..>,indirect effect,hsa05152
99,246,274,PPrel,-->,activation,hsa05152
100,246,274,PPrel,..>,indirect effect,hsa05152
101,195,47,PPrel,-->,activation,hsa05152
102,195,47,PPrel,+p,phosphorylation,hsa05152
103,47,112,PPrel,-->,activation,hsa05152
104,47,112,PPrel,+p,phosphorylation,hsa05152
105,342,211,PPrel,-->,activation,hsa05152
106,342,211,PPrel,..>,indirect effect,hsa05152
107,342,210,PPrel,-->,activation,hsa05152
108,342,210,PPrel,..>,indirect effect,hsa05152
109,46,48,PPrel,-->,activation,hsa05152
110,46,48,PPrel,..>,indirect effect,hsa05152
111,46,290,PPrel,-->,activation,hsa05152
112,46,290,PPrel,..>,indirect effect,hsa05152
113,41,48,PPrel,-->,activation,hsa05152
114,41,48,PPrel,..>,indirect effect,hsa05152
115,41,290,PPrel,-->,activation,hsa05152
116,41,290,PPrel,..>,indirect effect,hsa05152
117,56,58,PCrel,-->,activation,hsa05152
118,56,58,PCrel,..>,indirect effect,hsa05152
119,348,61,PPrel,-->,activation,hsa05152
120,348,61,PPrel,..>,indirect effect,hsa05152
121,61,63,PPrel,-->,activation,hsa05152
122,61,63,PPrel,..>,indirect effect,hsa05152
123,61,55,PPrel,-->,activation,hsa05152
124,61,55,PPrel,..>,indirect effect,hsa05152
125,61,60,PPrel,-->,activation,hsa05152
126,61,60,PPrel,..>,indirect effect,hsa05152
127,210,213,PPrel,-->,activation,hsa05152
128,210,213,PPrel,..>,indirect effect,hsa05152
129,144,150,PPrel,-->,activation,hsa05152
130,144,150,PPrel,..>,indirect effect,hsa05152
131,150,349,PPrel,-->,activation,hsa05152
132,150,349,PPrel,..>,indirect effect,hsa05152
133,283,148,PCrel,-->,activation,hsa05152
134,283,148,PCrel,..>,indirect effect,hsa05152
135,141,147,PPrel,--|,inhibition,hsa05152
136,141,147,PPrel,+p,phosphorylation,hsa05152
