,entry1,entry2,link,value,name,pathway
0,49,68,PPrel,-->,activation,hsa04022
1,49,199,PPrel,-->,activation,hsa04022
2,68,50,PPrel,-->,activation,hsa04022
3,50,66,PCrel,-->,activation,hsa04022
4,66,32,PCrel,-->,activation,hsa04022
5,22,105,PPrel,-->,activation,hsa04022
6,22,106,PPrel,-->,activation,hsa04022
7,22,107,PPrel,-->,activation,hsa04022
8,20,21,PCrel,-->,activation,hsa04022
9,40,21,PCrel,-->,activation,hsa04022
10,21,22,PCrel,-->,activation,hsa04022
11,21,46,PCrel,-->,activation,hsa04022
12,19,23,PCrel,-->,activation,hsa04022
13,23,21,PCrel,-->,activation,hsa04022
14,21,144,PCrel,-->,activation,hsa04022
15,21,125,PCrel,-->,activation,hsa04022
16,175,172,PCrel,-->,activation,hsa04022
17,172,171,PPrel,-->,activation,hsa04022
18,165,89,PPrel,-->,activation,hsa04022
19,139,140,PCrel,-->,activation,hsa04022
20,188,183,PCrel,-->,activation,hsa04022
21,182,197,PPrel,-->,activation,hsa04022
22,113,197,PPrel,-->,activation,hsa04022
23,183,197,PPrel,-->,activation,hsa04022
24,197,114,PPrel,-->,activation,hsa04022
25,193,179,PPrel,-->,activation,hsa04022
26,179,178,PPrel,-->,activation,hsa04022
27,178,114,PPrel,-->,activation,hsa04022
28,114,115,PPrel,-->,activation,hsa04022
29,180,181,PPrel,-->,activation,hsa04022
30,181,116,PPrel,-->,activation,hsa04022
31,37,52,PPrel,--|,inhibition,hsa04022
32,21,145,PCrel,--|,inhibition,hsa04022
33,163,164,PPrel,--|,inhibition,hsa04022
34,41,32,PPrel,--|,inhibition,hsa04022
35,116,121,PCrel,-->,activation,hsa04022
36,121,23,PCrel,-->,activation,hsa04022
37,74,75,PPrel,---,binding/association,hsa04022
38,74,210,PPrel,---,binding/association,hsa04022
39,74,131,GErel,-->,expression,hsa04022
40,74,132,GErel,-->,expression,hsa04022
41,74,133,GErel,-->,expression,hsa04022
42,55,56,PPrel,-->,activation,hsa04022
43,87,86,PPrel,---,binding/association,hsa04022
44,207,20,PPrel,-->,activation,hsa04022
45,208,20,PPrel,-->,activation,hsa04022
46,209,40,PPrel,-->,activation,hsa04022
47,205,182,PPrel,-->,activation,hsa04022
48,49,72,PPrel,-->,activation,hsa04022
49,49,72,PPrel,..>,indirect effect,hsa04022
50,199,55,PPrel,-->,activation,hsa04022
51,199,55,PPrel,..>,indirect effect,hsa04022
52,22,165,PPrel,-->,activation,hsa04022
53,22,165,PPrel,..>,indirect effect,hsa04022
54,202,163,PCrel,-->,activation,hsa04022
55,202,163,PCrel,..>,indirect effect,hsa04022
56,22,37,PPrel,-->,activation,hsa04022
57,22,37,PPrel,+p,phosphorylation,hsa04022
58,22,48,PPrel,-->,activation,hsa04022
59,22,48,PPrel,+p,phosphorylation,hsa04022
60,22,111,PPrel,-->,activation,hsa04022
61,22,111,PPrel,+p,phosphorylation,hsa04022
62,22,41,PPrel,-->,activation,hsa04022
63,22,41,PPrel,+p,phosphorylation,hsa04022
64,22,87,PPrel,-->,activation,hsa04022
65,22,87,PPrel,+p,phosphorylation,hsa04022
66,171,16,PPrel,-->,activation,hsa04022
67,171,16,PPrel,+p,phosphorylation,hsa04022
68,22,101,PPrel,-->,activation,hsa04022
69,22,101,PPrel,+p,phosphorylation,hsa04022
70,22,100,PPrel,-->,activation,hsa04022
71,22,100,PPrel,+p,phosphorylation,hsa04022
72,22,103,PPrel,-->,activation,hsa04022
73,22,103,PPrel,+p,phosphorylation,hsa04022
74,22,91,PPrel,-->,activation,hsa04022
75,22,91,PPrel,+p,phosphorylation,hsa04022
76,91,93,PPrel,-->,activation,hsa04022
77,91,93,PPrel,+p,phosphorylation,hsa04022
78,93,94,PPrel,-->,activation,hsa04022
79,93,94,PPrel,+p,phosphorylation,hsa04022
80,115,116,PPrel,-->,activation,hsa04022
81,115,116,PPrel,+p,phosphorylation,hsa04022
82,22,72,PPrel,--|,inhibition,hsa04022
83,22,72,PPrel,+p,phosphorylation,hsa04022
84,22,52,PPrel,--|,inhibition,hsa04022
85,22,52,PPrel,+p,phosphorylation,hsa04022
86,56,15,PPrel,--|,inhibition,hsa04022
87,56,15,PPrel,+p,phosphorylation,hsa04022
88,15,16,PPrel,--|,inhibition,hsa04022
89,15,16,PPrel,+p,phosphorylation,hsa04022
90,22,50,PPrel,--|,inhibition,hsa04022
91,22,50,PPrel,+p,phosphorylation,hsa04022
92,73,74,PPrel,-->,activation,hsa04022
93,73,74,PPrel,-p,dephosphorylation,hsa04022
94,48,68,PPrel,--|,inhibition,hsa04022
95,48,68,PPrel,..>,indirect effect,hsa04022
96,22,15,PPrel,-->,activation,hsa04022
97,22,15,PPrel,+p,phosphorylation,hsa04022
