,entry1,entry2,link,value,name,pathway
0,31,9,PCrel,-->,activation,hsa04625
1,115,10,PCrel,-->,activation,hsa04625
2,34,14,PCrel,-->,activation,hsa04625
3,77,74,PCrel,-->,activation,hsa04625
4,310,11,PCrel,-->,activation,hsa04625
5,311,11,PCrel,-->,activation,hsa04625
6,221,12,PCrel,-->,activation,hsa04625
7,194,195,PCrel,-->,activation,hsa04625
8,194,196,PCrel,-->,activation,hsa04625
9,203,201,PCrel,-->,activation,hsa04625
10,40,150,PPrel,-->,activation,hsa04625
11,150,157,PCrel,-->,activation,hsa04625
12,150,281,PCrel,-->,activation,hsa04625
13,142,230,PPrel,-->,activation,hsa04625
14,157,163,PCrel,-->,activation,hsa04625
15,282,160,PPrel,-->,activation,hsa04625
16,158,282,PCrel,-->,activation,hsa04625
17,143,151,PPrel,-->,activation,hsa04625
18,165,54,PCrel,-->,activation,hsa04625
19,105,224,PPrel,-->,activation,hsa04625
20,70,23,PPrel,-->,activation,hsa04625
21,23,21,PPrel,-->,activation,hsa04625
22,236,238,PPrel,-->,activation,hsa04625
23,122,124,PPrel,-->,activation,hsa04625
24,200,206,PPrel,-->,activation,hsa04625
25,206,209,PCrel,-->,activation,hsa04625
26,209,213,PCrel,-->,activation,hsa04625
27,210,286,PCrel,-->,activation,hsa04625
28,286,284,PPrel,-->,activation,hsa04625
29,344,56,PPrel,-->,activation,hsa04625
30,40,44,PPrel,---,binding/association,hsa04625
31,10,13,PPrel,---,binding/association,hsa04625
32,14,16,PPrel,---,binding/association,hsa04625
33,74,76,PPrel,---,binding/association,hsa04625
34,11,29,PPrel,---,binding/association,hsa04625
35,12,30,PPrel,---,binding/association,hsa04625
36,195,196,PPrel,---,binding/association,hsa04625
37,197,196,PPrel,---,binding/association,hsa04625
38,129,130,PPrel,---,binding/association,hsa04625
39,140,139,PPrel,---,binding/association,hsa04625
40,247,248,PPrel,---,binding/association,hsa04625
41,96,98,PPrel,---,binding/association,hsa04625
42,86,85,PPrel,---,binding/association,hsa04625
43,85,84,PPrel,---,binding/association,hsa04625
44,28,20,PPrel,---,binding/association,hsa04625
45,176,175,PPrel,---,binding/association,hsa04625
46,21,17,PPrel,---,binding/association,hsa04625
47,21,18,PPrel,---,binding/association,hsa04625
48,191,193,PPrel,---,binding/association,hsa04625
49,238,239,PPrel,---,binding/association,hsa04625
50,239,240,PPrel,---,binding/association,hsa04625
51,124,125,PPrel,---,binding/association,hsa04625
52,125,126,PPrel,---,binding/association,hsa04625
