,id,name,type,link,gene_names,reaction
0,28,path:hsa00920,map,https://www.kegg.jp/dbget-bin/www_bget?hsa00920,TITLE:Sulfur metabolism,
1,29,cpd:C00059,compound,https://www.kegg.jp/dbget-bin/www_bget?C00059,C00059,
2,31,cpd:C00094,compound,https://www.kegg.jp/dbget-bin/www_bget?C00094,C00094,
3,32,ko:K05301 ko:K00386,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K05301+K00386,K05301...,rn:R00528
4,33,hsa:6821,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6821,SUOX,rn:R00533
5,35,ko:K00392,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00392,K00392,rn:R00859
6,36,ko:K11180 ko:K11181,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K11180+K11181,K11180...,rn:R00861
7,37,ko:K00380 ko:K00381,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00380+K00381,K00380...,rn:R00858
8,38,ko:K16950 ko:K16951 ko:K00385,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K16950+K16951+K00385,K16950...,rn:R00858 rn:R10146
9,39,cpd:C00283,compound,https://www.kegg.jp/dbget-bin/www_bget?C00283,C00283,
10,44,hsa:10380 hsa:54928,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:10380+hsa:54928,"BPNT1, HEL20, PIP...",rn:R00508
11,45,hsa:9060 hsa:9061,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:9060+hsa:9061,"PAPSS2, ATPSK2, BCYM4, SK2...",rn:R00509
12,46,ko:K22966,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K22966,K22966,rn:R00531
13,47,ko:K00988 ko:K22966,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00988+K22966,K00988...,rn:R00530
14,48,hsa:9060 hsa:9061,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:9060+hsa:9061,"PAPSS2, ATPSK2, BCYM4, SK2...",rn:R00529
15,49,cpd:C00224,compound,https://www.kegg.jp/dbget-bin/www_bget?C00224,C00224,
16,50,cpd:C00054,compound,https://www.kegg.jp/dbget-bin/www_bget?C00054,C00054,
17,51,cpd:C00053,compound,https://www.kegg.jp/dbget-bin/www_bget?C00053,C00053,
18,54,ko:K00390,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00390,K00390,rn:R02021
