,entry1,entry2,link,value,name,pathway
0,40,44,ECrel,30,compound,hsa04664
1,40,48,ECrel,30,compound,hsa04664
2,48,41,ECrel,25,compound,hsa04664
3,40,39,PPrel,-->,activation,hsa04664
4,39,34,PPrel,-->,activation,hsa04664
5,40,59,PPrel,-->,activation,hsa04664
6,59,37,PPrel,-->,activation,hsa04664
7,37,58,PPrel,-->,activation,hsa04664
8,59,38,PPrel,-->,activation,hsa04664
9,38,36,PPrel,-->,activation,hsa04664
10,45,42,PPrel,-->,activation,hsa04664
11,43,48,PPrel,-->,activation,hsa04664
12,43,60,PPrel,-->,activation,hsa04664
13,60,59,PPrel,-->,activation,hsa04664
14,47,56,PPrel,-->,activation,hsa04664
15,56,55,PPrel,-->,activation,hsa04664
16,55,54,PPrel,-->,activation,hsa04664
17,54,53,PPrel,-->,activation,hsa04664
18,53,52,PPrel,-->,activation,hsa04664
19,51,57,PPrel,-->,activation,hsa04664
20,45,50,PPrel,---,binding/association,hsa04664
21,13,133,PPrel,-->,activation,hsa04664
22,12,134,PPrel,-->,activation,hsa04664
23,42,40,PPrel,-->,activation,hsa04664
24,46,28,PPrel,--|,inhibition,hsa04664
25,49,30,PCrel,--|,inhibition,hsa04664
26,30,48,PCrel,---,binding/association,hsa04664
27,48,31,PCrel,-->,activation,hsa04664
28,57,21,PCrel,-->,activation,hsa04664
29,46,26,PPrel,-->,activation,hsa04664
30,46,26,PPrel,+p,phosphorylation,hsa04664
31,46,50,PPrel,-->,activation,hsa04664
32,46,50,PPrel,+p,phosphorylation,hsa04664
33,46,44,PPrel,-->,activation,hsa04664
34,46,44,PPrel,+p,phosphorylation,hsa04664
35,44,48,PPrel,-->,activation,hsa04664
36,44,48,PPrel,+p,phosphorylation,hsa04664
37,45,48,PPrel,-->,activation,hsa04664
38,45,48,PPrel,+p,phosphorylation,hsa04664
39,46,45,PPrel,-->,activation,hsa04664
40,46,45,PPrel,+p,phosphorylation,hsa04664
41,45,40,PPrel,-->,activation,hsa04664
42,45,40,PPrel,+p,phosphorylation,hsa04664
43,45,43,PPrel,-->,activation,hsa04664
44,45,43,PPrel,+p,phosphorylation,hsa04664
45,45,60,PPrel,-->,activation,hsa04664
46,45,60,PPrel,+p,phosphorylation,hsa04664
47,45,47,PPrel,-->,activation,hsa04664
48,45,47,PPrel,+p,phosphorylation,hsa04664
49,52,51,PPrel,-->,activation,hsa04664
50,52,51,PPrel,+p,phosphorylation,hsa04664
51,28,42,PPrel,-->,activation,hsa04664
52,28,42,PPrel,+p,phosphorylation,hsa04664
