,entry1,entry2,link,value,name,pathway
0,116,269,PCrel,-->,activation,hsa05034
1,269,270,PPrel,-->,activation,hsa05034
2,270,140,PPrel,-->,activation,hsa05034
3,146,141,PCrel,-->,activation,hsa05034
4,116,48,PCrel,-->,activation,hsa05034
5,48,138,PPrel,-->,activation,hsa05034
6,138,140,PPrel,-->,activation,hsa05034
7,281,271,PCrel,-->,activation,hsa05034
8,271,272,PPrel,-->,activation,hsa05034
9,272,140,PPrel,-->,activation,hsa05034
10,234,314,PPrel,-->,activation,hsa05034
11,317,318,PPrel,-->,activation,hsa05034
12,318,319,PPrel,-->,activation,hsa05034
13,172,199,PCrel,-->,activation,hsa05034
14,199,200,PPrel,-->,activation,hsa05034
15,200,201,PPrel,-->,activation,hsa05034
16,201,210,PCrel,-->,activation,hsa05034
17,210,202,PCrel,-->,activation,hsa05034
18,262,263,PPrel,-->,activation,hsa05034
19,263,204,PPrel,-->,activation,hsa05034
20,262,292,PPrel,-->,activation,hsa05034
21,292,293,PPrel,-->,activation,hsa05034
22,140,146,PCrel,-->,activation,hsa05034
23,231,340,PPrel,---,binding/association,hsa05034
24,306,341,PPrel,---,binding/association,hsa05034
25,256,47,PCrel,--|,inhibition,hsa05034
26,332,202,PPrel,--|,inhibition,hsa05034
27,139,137,PPrel,--|,inhibition,hsa05034
28,283,273,PCrel,--|,inhibition,hsa05034
29,230,232,GErel,-->,expression,hsa05034
30,230,233,GErel,-->,expression,hsa05034
31,230,234,GErel,-->,expression,hsa05034
32,203,303,GErel,-->,expression,hsa05034
33,319,320,PPrel,-->,activation,hsa05034
34,319,320,PPrel,+p,phosphorylation,hsa05034
35,320,321,PPrel,-->,activation,hsa05034
36,320,321,PPrel,+p,phosphorylation,hsa05034
37,293,294,PPrel,-->,activation,hsa05034
38,293,294,PPrel,+p,phosphorylation,hsa05034
39,294,295,PPrel,-->,activation,hsa05034
40,294,295,PPrel,+p,phosphorylation,hsa05034
41,202,139,PPrel,-->,activation,hsa05034
42,202,139,PPrel,+p,phosphorylation,hsa05034
43,202,261,PPrel,-->,activation,hsa05034
44,202,261,PPrel,+p,phosphorylation,hsa05034
45,137,261,PPrel,--|,inhibition,hsa05034
46,137,261,PPrel,-p,dephosphorylation,hsa05034
47,141,230,PPrel,-->,activation,hsa05034
48,141,230,PPrel,+p,phosphorylation,hsa05034
49,204,203,PPrel,-->,activation,hsa05034
50,204,203,PPrel,+p,phosphorylation,hsa05034
51,202,203,PPrel,-->,activation,hsa05034
52,202,203,PPrel,+p,phosphorylation,hsa05034
53,295,203,PPrel,-->,activation,hsa05034
54,295,203,PPrel,..>,indirect effect,hsa05034
55,321,330,GErel,-->,expression,hsa05034
56,321,330,GErel,..>,indirect effect,hsa05034
